Data_set,Cv,Number_of_est,Accuracy,F-score
wine.data,2,10,0.9664141414141414,0.9671712400241714
wine.data,4,10,0.9777777777777777,0.9788815939447361
wine.data,6,10,0.9718253968253969,0.9723068113591737
wine.data,8,10,0.983201581027668,0.9831342719887612
wine.data,2,20,0.9832070707070707,0.9839682340209179
wine.data,4,20,0.9830749354005168,0.9833580040031653
wine.data,6,20,0.9777777777777779,0.9783544210384969
wine.data,8,20,0.960450781102955,0.9622094816947758
wine.data,2,30,0.9662878787878788,0.966956250069892
wine.data,4,30,0.9777777777777777,0.9788782439970896
wine.data,6,30,0.9773809523809525,0.9783007441732258
wine.data,8,30,0.983201581027668,0.9837618808207044
wine.data,2,40,0.9606060606060607,0.961822392933696
wine.data,4,40,0.9666666666666667,0.967474809222373
wine.data,6,40,0.9777777777777777,0.9785321243121755
wine.data,8,40,0.9723084886128365,0.9725278279941593
wine.data,2,50,0.9776515151515152,0.9780833216360179
wine.data,4,50,0.9664082687338501,0.9675873169132974
wine.data,6,50,0.9825396825396826,0.9832054560954817
wine.data,8,50,0.9503458498023716,0.9502814766359657
wine.data,2,60,0.9550505050505051,0.9566603939484217
wine.data,4,60,0.9717054263565892,0.9725433379690626
wine.data,6,60,0.9607142857142859,0.9610645446877331
wine.data,8,60,0.9720614530397139,0.9721949389906046
wine.data,2,70,0.9718434343434343,0.9712949066930083
wine.data,4,70,0.9661498708010337,0.9668832459516955
wine.data,6,70,0.9777777777777779,0.97742665972845
wine.data,8,70,0.978013833992095,0.9785250671957328
wine.data,2,80,0.9551767676767677,0.9561301983815159
wine.data,4,80,0.9664082687338501,0.9671205520921611
wine.data,6,80,0.9662698412698414,0.9672275508451306
wine.data,8,80,0.9834486166007905,0.9831546968253624
wine.data,2,90,0.9775252525252525,0.9792908527188446
wine.data,4,90,0.9833333333333334,0.9848484848484849
wine.data,6,90,0.9722222222222222,0.9721730251554813
wine.data,8,90,0.9658620365142104,0.964923896193246
wine.data,2,100,0.9775252525252525,0.9780172523424094
wine.data,4,100,0.9828165374677003,0.9827093294568932
wine.data,6,100,0.9777777777777779,0.9774390384172994
wine.data,8,100,0.9666501976284585,0.9673791980293529
diabetes.data,2,10,0.765625,0.7320470911858632
diabetes.data,4,10,0.7565104166666666,0.7345936526050134
diabetes.data,6,10,0.7344963624641396,0.716476516065474
diabetes.data,8,10,0.7293543136190992,0.7047755800541369
diabetes.data,2,20,0.7552083333333334,0.7251130837109101
diabetes.data,4,20,0.7434895833333333,0.7172852403320538
diabetes.data,6,20,0.748768810784553,0.7220223143307379
diabetes.data,8,20,0.7460797612588171,0.7185091094429332
diabetes.data,2,30,0.7447916666666666,0.7196652388096578
diabetes.data,4,30,0.7552083333333333,0.7306018075840519
diabetes.data,6,30,0.7590033145384444,0.7267584486229929
diabetes.data,8,30,0.735851871947911,0.7080808993094003
diabetes.data,2,40,0.75390625,0.7387293490970066
diabetes.data,4,40,0.74609375,0.7209277153758196
diabetes.data,6,40,0.73170907915217,0.7142325493620114
diabetes.data,8,40,0.7459441128594683,0.7176587153439665
diabetes.data,2,50,0.7356770833333333,0.7219185683951435
diabetes.data,4,50,0.7434895833333334,0.7209971103818198
diabetes.data,6,50,0.7331644749893181,0.7106454477750822
diabetes.data,8,50,0.7333559413998916,0.7095290182768325
diabetes.data,2,60,0.73828125,0.716851106422767
diabetes.data,4,60,0.7578125,0.726449295829669
diabetes.data,6,60,0.7472736760920874,0.722693103198436
diabetes.data,8,60,0.751451437873033,0.7234329803163115
diabetes.data,2,70,0.7604166666666667,0.7108915450203075
diabetes.data,4,70,0.7591145833333334,0.733169173738156
diabetes.data,6,70,0.752390053714216,0.7276440480831293
diabetes.data,8,70,0.7450081389039609,0.7228819634338663
diabetes.data,2,80,0.7252604166666667,0.7119145626398977
diabetes.data,4,80,0.7526041666666667,0.7189812433549863
diabetes.data,6,80,0.7356869385694521,0.6966607365891545
diabetes.data,8,80,0.753540423223006,0.7337678498441026
diabetes.data,2,90,0.75,0.7230738996842393
diabetes.data,4,90,0.7369791666666666,0.715661688053303
diabetes.data,6,90,0.7395621127845938,0.7248721894014126
diabetes.data,8,90,0.7471513836136734,0.7229039432968496
diabetes.data,2,100,0.7408854166666666,0.7129650519287654
diabetes.data,4,100,0.7395833333333334,0.7161954209653949
diabetes.data,6,100,0.7395629075617002,0.7215969136097491
diabetes.data,8,100,0.7423223005968529,0.7177855856619444
seeds.data,2,10,0.9142857142857144,0.9135993518346459
seeds.data,4,10,0.9098583877995643,0.907353363971011
seeds.data,6,10,0.9086700336700336,0.9071611212190923
seeds.data,8,10,0.896412037037037,0.893552406342654
seeds.data,2,20,0.8904761904761904,0.8903784144839144
seeds.data,4,20,0.9232026143790849,0.9222055815805815
seeds.data,6,20,0.9095117845117845,0.9083613085786998
seeds.data,8,20,0.9097222222222222,0.9074862913001458
seeds.data,2,30,0.9095238095238095,0.9094678638905835
seeds.data,4,30,0.9055010893246187,0.9056883037533192
seeds.data,6,30,0.9196127946127947,0.9194862223123091
seeds.data,8,30,0.8912037037037037,0.8882595621469461
seeds.data,2,40,0.8904761904761904,0.8897708958408981
seeds.data,4,40,0.9052287581699346,0.9045412260872787
seeds.data,6,40,0.9099326599326599,0.9068438459018169
seeds.data,8,40,0.9056712962962963,0.9032265099022065
seeds.data,2,50,0.9238095238095239,0.9235383227249665
seeds.data,4,50,0.8959694989106755,0.8953123157307717
seeds.data,6,50,0.9044612794612794,0.9023753514333225
seeds.data,8,50,0.9050925925925926,0.9032626500892755
seeds.data,2,60,0.9047619047619048,0.902949535670124
seeds.data,4,60,0.9093137254901961,0.9088060515155292
seeds.data,6,60,0.9053030303030304,0.904928391146291
seeds.data,8,60,0.9103009259259259,0.9067957373007682
seeds.data,2,70,0.9142857142857144,0.9143557422969188
seeds.data,4,70,0.9035947712418301,0.9015396258280509
seeds.data,6,70,0.9090909090909091,0.9078783782254417
seeds.data,8,70,0.8958333333333333,0.8932834537323702
seeds.data,2,80,0.8952380952380952,0.8943998616419246
seeds.data,4,80,0.9095860566448801,0.9089826836053616
seeds.data,6,80,0.9002525252525252,0.8988237098382027
seeds.data,8,80,0.9056712962962963,0.9049113285665142
seeds.data,2,90,0.9,0.8979630139291104
seeds.data,4,90,0.9133986928104575,0.9123438373438374
seeds.data,6,90,0.8994107744107743,0.8971868898680494
seeds.data,8,90,0.8917824074074074,0.8901735548020377
seeds.data,2,100,0.8952380952380952,0.8951437303655088
seeds.data,4,100,0.8962418300653595,0.8947656587362469
seeds.data,6,100,0.9048821548821548,0.9030190904103947
seeds.data,8,100,0.9097222222222222,0.9073381472472031
