Data_set,Layer_size,Activation,CV,Stopping,Solver,Accuracy,F-score
wine.data,"(3,)",relu,2,True,adam,0.3421717171717172,0.30615141445419075
wine.data,"(3,)",relu,4,True,adam,0.3536175710594316,0.18065998329156224
wine.data,"(3,)",relu,6,True,adam,0.2944444444444444,0.1704226753297108
wine.data,"(3,)",relu,8,True,adam,0.3244988706945229,0.1889157195210036
wine.data,"(3,)",relu,2,True,sgd,0.3833333333333333,0.27372021471589425
wine.data,"(3,)",relu,4,True,sgd,0.30439276485788114,0.16350652271704902
wine.data,"(3,)",relu,6,True,sgd,0.3698412698412698,0.2086934908501019
wine.data,"(3,)",relu,8,True,sgd,0.3314393939393939,0.16529816528947508
wine.data,"(3,)",relu,2,False,adam,0.42588383838383836,0.30417564745922954
wine.data,"(3,)",relu,4,False,adam,0.48372093023255813,0.3300808025266229
wine.data,"(3,)",relu,6,False,adam,0.5293650793650794,0.4200826595987886
wine.data,"(3,)",relu,8,False,adam,0.5057171089779786,0.4050652318907897
wine.data,"(3,)",relu,2,False,sgd,0.4340909090909091,0.37475400237012085
wine.data,"(3,)",relu,4,False,sgd,0.4147286821705426,0.2680792922387002
wine.data,"(3,)",relu,6,False,sgd,0.523015873015873,0.3680969913354737
wine.data,"(3,)",relu,8,False,sgd,0.5007528703180877,0.3957521020593103
wine.data,"(6,)",relu,2,True,adam,0.33636363636363636,0.16666666666666669
wine.data,"(6,)",relu,4,True,adam,0.19043927648578812,0.13187294105217623
wine.data,"(6,)",relu,6,True,adam,0.273015873015873,0.18111910147513863
wine.data,"(6,)",relu,8,True,adam,0.3549313005834745,0.19812165220918002
wine.data,"(6,)",relu,2,True,sgd,0.33636363636363636,0.17000445037828216
wine.data,"(6,)",relu,4,True,sgd,0.3324289405684755,0.20745096269007923
wine.data,"(6,)",relu,6,True,sgd,0.2976190476190476,0.1520123839009288
wine.data,"(6,)",relu,8,True,sgd,0.3441323169584039,0.23992566083616323
wine.data,"(6,)",relu,2,False,adam,0.8031565656565656,0.7791096762790021
wine.data,"(6,)",relu,4,False,adam,0.7317829457364342,0.677186541372696
wine.data,"(6,)",relu,6,False,adam,0.7527777777777778,0.7101272812090187
wine.data,"(6,)",relu,8,False,adam,0.7880199510634294,0.753350375401459
wine.data,"(6,)",relu,2,False,sgd,0.6786616161616161,0.6541009378218681
wine.data,"(6,)",relu,4,False,sgd,0.4877260981912145,0.36142787524366465
wine.data,"(6,)",relu,6,False,sgd,0.4218253968253969,0.29600762494173566
wine.data,"(6,)",relu,8,False,sgd,0.553806700545831,0.4965761003045486
wine.data,"(9,)",relu,2,True,adam,0.2808080808080808,0.16612554112554112
wine.data,"(9,)",relu,4,True,adam,0.3155038759689922,0.17380762512341458
wine.data,"(9,)",relu,6,True,adam,0.3535714285714286,0.19773448720817144
wine.data,"(9,)",relu,8,True,adam,0.4256775832862789,0.31522097164147467
wine.data,"(9,)",relu,2,True,sgd,0.3037878787878788,0.2011525695736222
wine.data,"(9,)",relu,4,True,sgd,0.29276485788113693,0.21468378515169728
wine.data,"(9,)",relu,6,True,sgd,0.3424603174603175,0.23910457395392556
wine.data,"(9,)",relu,8,True,sgd,0.3089591567852437,0.19033760795255966
wine.data,"(9,)",relu,2,False,adam,0.8536616161616162,0.853888750923367
wine.data,"(9,)",relu,4,False,adam,0.8264857881136951,0.8171135185636288
wine.data,"(9,)",relu,6,False,adam,0.7984126984126984,0.767709236379313
wine.data,"(9,)",relu,8,False,adam,0.8111942405420666,0.7864258562787975
wine.data,"(9,)",relu,2,False,sgd,0.5329545454545455,0.4119436847210255
wine.data,"(9,)",relu,4,False,sgd,0.5733850129198966,0.4714509609564788
wine.data,"(9,)",relu,6,False,sgd,0.5730158730158729,0.5280666975651835
wine.data,"(9,)",relu,8,False,sgd,0.6750541125541125,0.6247740740192057
wine.data,"(12,)",relu,2,True,adam,0.33219696969696966,0.16502638710597634
wine.data,"(12,)",relu,4,True,adam,0.3268733850129199,0.21079719500772132
wine.data,"(12,)",relu,6,True,adam,0.3146825396825396,0.2042257060649817
wine.data,"(12,)",relu,8,True,adam,0.3834697910784867,0.26512502615122724
wine.data,"(12,)",relu,2,True,sgd,0.5988636363636364,0.49754936120789783
wine.data,"(12,)",relu,4,True,sgd,0.279328165374677,0.18023857190523856
wine.data,"(12,)",relu,6,True,sgd,0.33015873015873015,0.21623608207715536
wine.data,"(12,)",relu,8,True,sgd,0.33193346508563903,0.17711452821355028
wine.data,"(12,)",relu,2,False,adam,0.9718434343434343,0.9717421902847768
wine.data,"(12,)",relu,4,False,adam,0.8992248062015504,0.9022676631241704
wine.data,"(12,)",relu,6,False,adam,0.9496031746031747,0.9506987361279101
wine.data,"(12,)",relu,8,False,adam,0.9384881422924902,0.93946158867792
wine.data,"(12,)",relu,2,False,sgd,0.8265151515151515,0.8073484793269196
wine.data,"(12,)",relu,4,False,sgd,0.6506459948320413,0.6156365702904605
wine.data,"(12,)",relu,6,False,sgd,0.6527777777777778,0.5538579828033997
wine.data,"(12,)",relu,8,False,sgd,0.6403750235271974,0.5899344502962924
wine.data,"(15,)",relu,2,True,adam,0.14595959595959596,0.1293245278233398
wine.data,"(15,)",relu,4,True,adam,0.3308785529715762,0.19990798251667816
wine.data,"(15,)",relu,6,True,adam,0.31507936507936507,0.1683235867446394
wine.data,"(15,)",relu,8,True,adam,0.2864553924336533,0.17296235187081255
wine.data,"(15,)",relu,2,True,sgd,0.19696969696969696,0.17482640712417316
wine.data,"(15,)",relu,4,True,sgd,0.24198966408268735,0.15303584196904235
wine.data,"(15,)",relu,6,True,sgd,0.36547619047619045,0.2228089433971787
wine.data,"(15,)",relu,8,True,sgd,0.4553453792584228,0.3070226220944038
wine.data,"(15,)",relu,2,False,adam,0.9327020202020202,0.9343439786936588
wine.data,"(15,)",relu,4,False,adam,0.9722222222222223,0.9724023478103175
wine.data,"(15,)",relu,6,False,adam,0.965873015873016,0.9670813520147212
wine.data,"(15,)",relu,8,False,adam,0.966897233201581,0.9675774925968424
wine.data,"(15,)",relu,2,False,sgd,0.7416666666666667,0.7415896305932719
wine.data,"(15,)",relu,4,False,sgd,0.6347545219638242,0.5584206761954631
wine.data,"(15,)",relu,6,False,sgd,0.5904761904761905,0.493730492902843
wine.data,"(15,)",relu,8,False,sgd,0.6550324675324675,0.6032044959821241
wine.data,"(18,)",relu,2,True,adam,0.21426767676767677,0.15192821864699038
wine.data,"(18,)",relu,4,True,adam,0.22609819121447028,0.12828580648946783
wine.data,"(18,)",relu,6,True,adam,0.4000000000000001,0.28876394574923986
wine.data,"(18,)",relu,8,True,adam,0.336521268586486,0.21631575857329147
wine.data,"(18,)",relu,2,True,sgd,0.3592171717171717,0.17595441595441597
wine.data,"(18,)",relu,4,True,sgd,0.28217054263565894,0.2136811533985633
wine.data,"(18,)",relu,6,True,sgd,0.43849206349206354,0.33179940610110975
wine.data,"(18,)",relu,8,True,sgd,0.32573404856013555,0.1932748057820602
wine.data,"(18,)",relu,2,False,adam,0.9272727272727272,0.929431133335499
wine.data,"(18,)",relu,4,False,adam,0.9383720930232559,0.9392581966003823
wine.data,"(18,)",relu,6,False,adam,0.9380952380952382,0.9390493734573241
wine.data,"(18,)",relu,8,False,adam,0.9263128176171654,0.9276641762806623
wine.data,"(18,)",relu,2,False,sgd,0.6237373737373737,0.5906697695913382
wine.data,"(18,)",relu,4,False,sgd,0.7445736434108527,0.6929199348311067
wine.data,"(18,)",relu,6,False,sgd,0.7119047619047619,0.6639112286471275
wine.data,"(18,)",relu,8,False,sgd,0.7627282138151703,0.7359841084841084
wine.data,"(21,)",relu,2,True,adam,0.3700757575757576,0.28124307254742037
wine.data,"(21,)",relu,4,True,adam,0.32028423772609815,0.18583525842634083
wine.data,"(21,)",relu,6,True,adam,0.36547619047619045,0.22348438550708935
wine.data,"(21,)",relu,8,True,adam,0.39268068887634106,0.25197366027455015
wine.data,"(21,)",relu,2,True,sgd,0.465530303030303,0.33994493287956135
wine.data,"(21,)",relu,4,True,sgd,0.28488372093023256,0.1493734335839599
wine.data,"(21,)",relu,6,True,sgd,0.3757936507936508,0.23279981211790343
wine.data,"(21,)",relu,8,True,sgd,0.39899774138904576,0.2621782121437536
wine.data,"(21,)",relu,2,False,adam,0.9441919191919192,0.9458913027886957
wine.data,"(21,)",relu,4,False,adam,0.9833333333333333,0.9841474654377881
wine.data,"(21,)",relu,6,False,adam,0.9436507936507939,0.9442007149807661
wine.data,"(21,)",relu,8,False,adam,0.9555335968379447,0.958255406301072
wine.data,"(21,)",relu,2,False,sgd,0.8194444444444444,0.8184486952817547
wine.data,"(21,)",relu,4,False,sgd,0.6686046511627907,0.581386613883417
wine.data,"(21,)",relu,6,False,sgd,0.6896825396825396,0.672958674365324
wine.data,"(21,)",relu,8,False,sgd,0.72851966873706,0.7006040169888209
wine.data,"(24,)",relu,2,True,adam,0.3536616161616162,0.24321646060776494
wine.data,"(24,)",relu,4,True,adam,0.2599483204134367,0.14224110231369758
wine.data,"(24,)",relu,6,True,adam,0.36428571428571427,0.24334042992786628
wine.data,"(24,)",relu,8,True,adam,0.31511151891586675,0.20157129628057366
wine.data,"(24,)",relu,2,True,sgd,0.4215909090909091,0.29508856682769724
wine.data,"(24,)",relu,4,True,sgd,0.23320413436692505,0.16628651081333917
wine.data,"(24,)",relu,6,True,sgd,0.3424603174603174,0.20671270289388863
wine.data,"(24,)",relu,8,True,sgd,0.3192875964615095,0.20793340414980094
wine.data,"(24,)",relu,2,False,adam,0.938510101010101,0.9419282706100582
wine.data,"(24,)",relu,4,False,adam,0.9550387596899225,0.9567311655443076
wine.data,"(24,)",relu,6,False,adam,0.9555555555555556,0.9562635692929137
wine.data,"(24,)",relu,8,False,adam,0.9606978166760776,0.961661341324654
wine.data,"(24,)",relu,2,False,sgd,0.7854797979797981,0.7737880850307846
wine.data,"(24,)",relu,4,False,sgd,0.775968992248062,0.730783448176859
wine.data,"(24,)",relu,6,False,sgd,0.734920634920635,0.6540910121515751
wine.data,"(24,)",relu,8,False,sgd,0.7562111801242236,0.7161350564515526
wine.data,"(27,)",relu,2,True,adam,0.2641414141414141,0.1672376799557032
wine.data,"(27,)",relu,4,True,adam,0.3147286821705426,0.18945180411345824
wine.data,"(27,)",relu,6,True,adam,0.33968253968253975,0.21821308585515117
wine.data,"(27,)",relu,8,True,adam,0.34853190287972896,0.1979734210458407
wine.data,"(27,)",relu,2,True,sgd,0.33156565656565656,0.20372827372827373
wine.data,"(27,)",relu,4,True,sgd,0.31976744186046513,0.17355758276810912
wine.data,"(27,)",relu,6,True,sgd,0.3757936507936508,0.21843438462608336
wine.data,"(27,)",relu,8,True,sgd,0.2800324675324675,0.15504726941871272
wine.data,"(27,)",relu,2,False,adam,0.9718434343434343,0.9723643563705676
wine.data,"(27,)",relu,4,False,adam,0.9608527131782946,0.9616171439178686
wine.data,"(27,)",relu,6,False,adam,0.9611111111111111,0.9613570778177949
wine.data,"(27,)",relu,8,False,adam,0.9718144174665914,0.9727316027625625
wine.data,"(27,)",relu,2,False,sgd,0.7101010101010101,0.6657328952701236
wine.data,"(27,)",relu,4,False,sgd,0.6577519379844962,0.5998891576832753
wine.data,"(27,)",relu,6,False,sgd,0.7702380952380953,0.7421310229510308
wine.data,"(27,)",relu,8,False,sgd,0.6316581968755882,0.5226877176997182
wine.data,"(3,)",logistic,2,True,adam,0.303030303030303,0.15476190476190477
wine.data,"(3,)",logistic,4,True,adam,0.36472868217054266,0.1778404344193818
wine.data,"(3,)",logistic,6,True,adam,0.3142857142857143,0.1587765710572728
wine.data,"(3,)",logistic,8,True,adam,0.32575757575757575,0.16304036561788232
wine.data,"(3,)",logistic,2,True,sgd,0.465530303030303,0.30214654599376184
wine.data,"(3,)",logistic,4,True,sgd,0.30310077519379847,0.15415812257917522
wine.data,"(3,)",logistic,6,True,sgd,0.30317460317460315,0.16627857522594366
wine.data,"(3,)",logistic,8,True,sgd,0.3754352531526445,0.2160258201352473
wine.data,"(3,)",logistic,2,False,adam,0.44747474747474747,0.31820314332629607
wine.data,"(3,)",logistic,4,False,adam,0.48927648578811367,0.33562413593860135
wine.data,"(3,)",logistic,6,False,adam,0.39960317460317457,0.2241345241345241
wine.data,"(3,)",logistic,8,False,adam,0.45576886881234707,0.28001688673731684
wine.data,"(3,)",logistic,2,False,sgd,0.365530303030303,0.17818428184281843
wine.data,"(3,)",logistic,4,False,sgd,0.3821705426356589,0.18412698412698414
wine.data,"(3,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(3,)",logistic,8,False,sgd,0.40332674571805005,0.23443440442884272
wine.data,"(6,)",logistic,2,True,adam,0.33219696969696966,0.16502638710597634
wine.data,"(6,)",logistic,4,True,adam,0.34806201550387594,0.17259426815626636
wine.data,"(6,)",logistic,6,True,adam,0.36547619047619045,0.17774671722040145
wine.data,"(6,)",logistic,8,True,adam,0.3262516469038208,0.1667183622828784
wine.data,"(6,)",logistic,2,True,sgd,0.2981060606060606,0.15279652121757387
wine.data,"(6,)",logistic,4,True,sgd,0.2864341085271318,0.14820574162679429
wine.data,"(6,)",logistic,6,True,sgd,0.3599206349206349,0.18856614470649558
wine.data,"(6,)",logistic,8,True,sgd,0.3370976849237719,0.16738763234870022
wine.data,"(6,)",logistic,2,False,adam,0.5342171717171718,0.40407859646671096
wine.data,"(6,)",logistic,4,False,adam,0.5923772609819121,0.49491543911021996
wine.data,"(6,)",logistic,6,False,adam,0.5075396825396825,0.3388088269967085
wine.data,"(6,)",logistic,8,False,adam,0.471579145492189,0.307181506198933
wine.data,"(6,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(6,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(6,)",logistic,6,False,sgd,0.39325396825396824,0.19536019536019536
wine.data,"(6,)",logistic,8,False,sgd,0.35957792207792205,0.1891125314848433
wine.data,"(9,)",logistic,2,True,adam,0.36477272727272725,0.17785917785917787
wine.data,"(9,)",logistic,4,True,adam,0.30968992248062016,0.15946115288220553
wine.data,"(9,)",logistic,6,True,adam,0.30317460317460315,0.1562703053931124
wine.data,"(9,)",logistic,8,True,adam,0.35910737812911725,0.1755728918374914
wine.data,"(9,)",logistic,2,True,sgd,0.2981060606060606,0.15279652121757387
wine.data,"(9,)",logistic,4,True,sgd,0.3697674418604652,0.17922077922077922
wine.data,"(9,)",logistic,6,True,sgd,0.3599206349206349,0.18683639297674384
wine.data,"(9,)",logistic,8,True,sgd,0.37074157726331636,0.1799858639228773
wine.data,"(9,)",logistic,2,False,adam,0.7198232323232323,0.6479138732633201
wine.data,"(9,)",logistic,4,False,adam,0.5887596899224806,0.49677101407364566
wine.data,"(9,)",logistic,6,False,adam,0.5623015873015873,0.44794620284816355
wine.data,"(9,)",logistic,8,False,adam,0.5333850931677019,0.3859834510929478
wine.data,"(9,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(9,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(9,)",logistic,6,False,sgd,0.4507936507936508,0.26592913259579926
wine.data,"(9,)",logistic,8,False,sgd,0.42212497647280256,0.23631132961172552
wine.data,"(12,)",logistic,2,True,adam,0.303030303030303,0.15476190476190477
wine.data,"(12,)",logistic,4,True,adam,0.31976744186046513,0.16136363636363638
wine.data,"(12,)",logistic,6,True,adam,0.43174603174603177,0.2669494891717114
wine.data,"(12,)",logistic,8,True,adam,0.3430735930735931,0.17051758898776417
wine.data,"(12,)",logistic,2,True,sgd,0.2981060606060606,0.15350877192982457
wine.data,"(12,)",logistic,4,True,sgd,0.35310077519379846,0.18211173358232183
wine.data,"(12,)",logistic,6,True,sgd,0.3845238095238095,0.2454788213093271
wine.data,"(12,)",logistic,8,True,sgd,0.3269927536231884,0.17507474501356593
wine.data,"(12,)",logistic,2,False,adam,0.7407828282828283,0.6624393077223265
wine.data,"(12,)",logistic,4,False,adam,0.6749354005167958,0.6001260835303388
wine.data,"(12,)",logistic,6,False,adam,0.684126984126984,0.6182226451834295
wine.data,"(12,)",logistic,8,False,adam,0.6315287972896668,0.5385810362904628
wine.data,"(12,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(12,)",logistic,4,False,sgd,0.42661498708010337,0.23585112205801861
wine.data,"(12,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(12,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(15,)",logistic,2,True,adam,0.26969696969696966,0.14160401002506268
wine.data,"(15,)",logistic,4,True,adam,0.41421188630490957,0.257620320855615
wine.data,"(15,)",logistic,6,True,adam,0.33134920634920634,0.16508049402786246
wine.data,"(15,)",logistic,8,True,adam,0.34823781291172595,0.2076797258053001
wine.data,"(15,)",logistic,2,True,sgd,0.30997474747474746,0.161429431754635
wine.data,"(15,)",logistic,4,True,sgd,0.33087855297157626,0.16493506493506493
wine.data,"(15,)",logistic,6,True,sgd,0.2924603174603175,0.1474037263510948
wine.data,"(15,)",logistic,8,True,sgd,0.3640245623941276,0.2157203955263926
wine.data,"(15,)",logistic,2,False,adam,0.6515151515151515,0.5198351648351649
wine.data,"(15,)",logistic,4,False,adam,0.7434108527131782,0.6715267616702232
wine.data,"(15,)",logistic,6,False,adam,0.6408730158730159,0.5467973428674517
wine.data,"(15,)",logistic,8,False,adam,0.7548936570675702,0.7039786451471233
wine.data,"(15,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(15,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(15,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(15,)",logistic,8,False,sgd,0.3989036325992848,0.19088165090841677
wine.data,"(18,)",logistic,2,True,adam,0.2981060606060606,0.15279652121757387
wine.data,"(18,)",logistic,4,True,adam,0.3488372093023256,0.1875937554508983
wine.data,"(18,)",logistic,6,True,adam,0.34761904761904766,0.17109904390606145
wine.data,"(18,)",logistic,8,True,adam,0.331933465085639,0.1750716824656619
wine.data,"(18,)",logistic,2,True,sgd,0.2981060606060606,0.15279652121757387
wine.data,"(18,)",logistic,4,True,sgd,0.36472868217054266,0.1778404344193818
wine.data,"(18,)",logistic,6,True,sgd,0.3091269841269841,0.1567262751473278
wine.data,"(18,)",logistic,8,True,sgd,0.33252164502164505,0.19818506670061395
wine.data,"(18,)",logistic,2,False,adam,0.7824494949494949,0.7166300950646367
wine.data,"(18,)",logistic,4,False,adam,0.7392764857881137,0.653985139285473
wine.data,"(18,)",logistic,6,False,adam,0.8182539682539683,0.7900619121542753
wine.data,"(18,)",logistic,8,False,adam,0.8237224731789949,0.792904397016239
wine.data,"(18,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(18,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(18,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(18,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(21,)",logistic,2,True,adam,0.33219696969696966,0.16502638710597634
wine.data,"(21,)",logistic,4,True,adam,0.36472868217054266,0.1778404344193818
wine.data,"(21,)",logistic,6,True,adam,0.321031746031746,0.1610382794593321
wine.data,"(21,)",logistic,8,True,adam,0.3153585544889893,0.15885963828121782
wine.data,"(21,)",logistic,2,True,sgd,0.3433080808080808,0.18957758384923298
wine.data,"(21,)",logistic,4,True,sgd,0.2702842377260982,0.13384457520613127
wine.data,"(21,)",logistic,6,True,sgd,0.32023809523809527,0.16069452911558177
wine.data,"(21,)",logistic,8,True,sgd,0.33170995670995673,0.1868911775916291
wine.data,"(21,)",logistic,2,False,adam,0.9431818181818181,0.9458985301090563
wine.data,"(21,)",logistic,4,False,adam,0.8016795865633075,0.7512833467487033
wine.data,"(21,)",logistic,6,False,adam,0.832936507936508,0.7956676337621348
wine.data,"(21,)",logistic,8,False,adam,0.8076181065311501,0.7823377656018321
wine.data,"(21,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(21,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(21,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(21,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(24,)",logistic,2,True,adam,0.303030303030303,0.15476190476190477
wine.data,"(24,)",logistic,4,True,adam,0.33139534883720934,0.1653091060985798
wine.data,"(24,)",logistic,6,True,adam,0.32023809523809527,0.16069452911558177
wine.data,"(24,)",logistic,8,True,adam,0.3759057971014493,0.20485664766755599
wine.data,"(24,)",logistic,2,True,sgd,0.33636363636363636,0.16666666666666669
wine.data,"(24,)",logistic,4,True,sgd,0.2864341085271318,0.14820574162679429
wine.data,"(24,)",logistic,6,True,sgd,0.3142857142857143,0.15919428200129954
wine.data,"(24,)",logistic,8,True,sgd,0.3087121212121212,0.1567039600879284
wine.data,"(24,)",logistic,2,False,adam,0.8015151515151515,0.736988620663725
wine.data,"(24,)",logistic,4,False,adam,0.8320413436692506,0.8006650417721596
wine.data,"(24,)",logistic,6,False,adam,0.8753968253968254,0.8650401630695076
wine.data,"(24,)",logistic,8,False,adam,0.8551900997553171,0.8181618039707957
wine.data,"(24,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(24,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(24,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(24,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(27,)",logistic,2,True,adam,0.33636363636363636,0.16666666666666669
wine.data,"(27,)",logistic,4,True,adam,0.33139534883720934,0.1653091060985798
wine.data,"(27,)",logistic,6,True,adam,0.32539682539682535,0.16316253596955352
wine.data,"(27,)",logistic,8,True,adam,0.32007575757575757,0.16078256594628954
wine.data,"(27,)",logistic,2,True,sgd,0.303030303030303,0.15476190476190477
wine.data,"(27,)",logistic,4,True,sgd,0.3321705426356589,0.1650167084377611
wine.data,"(27,)",logistic,6,True,sgd,0.30317460317460315,0.15480831708901885
wine.data,"(27,)",logistic,8,True,sgd,0.342285431959345,0.1779887889836444
wine.data,"(27,)",logistic,2,False,adam,0.8320707070707071,0.8259369982341171
wine.data,"(27,)",logistic,4,False,adam,0.8103359173126614,0.7746169985164257
wine.data,"(27,)",logistic,6,False,adam,0.8626984126984127,0.8420414878602013
wine.data,"(27,)",logistic,8,False,adam,0.8934570863918689,0.8827704996242148
wine.data,"(27,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(27,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(27,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(27,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(3,)",tanh,2,True,adam,0.4092171717171717,0.27027819674878495
wine.data,"(3,)",tanh,4,True,adam,0.30439276485788114,0.18989833074443813
wine.data,"(3,)",tanh,6,True,adam,0.39444444444444443,0.26547262334989996
wine.data,"(3,)",tanh,8,True,adam,0.3485083756822887,0.21642069616207546
wine.data,"(3,)",tanh,2,True,sgd,0.365530303030303,0.18413666279519939
wine.data,"(3,)",tanh,4,True,sgd,0.3147286821705426,0.2200143608038345
wine.data,"(3,)",tanh,6,True,sgd,0.30436507936507934,0.16297457964124631
wine.data,"(3,)",tanh,8,True,sgd,0.3469320534537926,0.23404435766985815
wine.data,"(3,)",tanh,2,False,adam,0.8319444444444444,0.8398099335142524
wine.data,"(3,)",tanh,4,False,adam,0.7320413436692506,0.7196947772523122
wine.data,"(3,)",tanh,6,False,adam,0.5722222222222223,0.5225319708637229
wine.data,"(3,)",tanh,8,False,adam,0.6455627705627706,0.5911029340886151
wine.data,"(3,)",tanh,2,False,sgd,0.4897727272727273,0.31961385916336155
wine.data,"(3,)",tanh,4,False,sgd,0.591343669250646,0.5202127544703202
wine.data,"(3,)",tanh,6,False,sgd,0.5988095238095238,0.5339047717183918
wine.data,"(3,)",tanh,8,False,sgd,0.5840038584603802,0.4597517914211525
wine.data,"(6,)",tanh,2,True,adam,0.31893939393939397,0.2607563172128656
wine.data,"(6,)",tanh,4,True,adam,0.2864341085271318,0.18544357485244184
wine.data,"(6,)",tanh,6,True,adam,0.33928571428571425,0.22586657376430674
wine.data,"(6,)",tanh,8,True,adam,0.34305006587615283,0.1891867411289611
wine.data,"(6,)",tanh,2,True,sgd,0.22512626262626262,0.15624644738469284
wine.data,"(6,)",tanh,4,True,sgd,0.4543927648578811,0.27438460386573593
wine.data,"(6,)",tanh,6,True,sgd,0.3198412698412698,0.19137702496835626
wine.data,"(6,)",tanh,8,True,sgd,0.3321569734613213,0.21315503083520176
wine.data,"(6,)",tanh,2,False,adam,0.8429292929292929,0.8476408904433587
wine.data,"(6,)",tanh,4,False,adam,0.8370801033591732,0.8384407956175198
wine.data,"(6,)",tanh,6,False,adam,0.8603174603174604,0.8534786872241441
wine.data,"(6,)",tanh,8,False,adam,0.8149233013363448,0.7873854770816845
wine.data,"(6,)",tanh,2,False,sgd,0.7424242424242424,0.7312044662654419
wine.data,"(6,)",tanh,4,False,sgd,0.6133074935400517,0.575209971671875
wine.data,"(6,)",tanh,6,False,sgd,0.6952380952380953,0.6671234152518181
wine.data,"(6,)",tanh,8,False,sgd,0.6558676830415962,0.5554448120174497
wine.data,"(9,)",tanh,2,True,adam,0.5122474747474748,0.36073990414122886
wine.data,"(9,)",tanh,4,True,adam,0.3821705426356589,0.20417710944026732
wine.data,"(9,)",tanh,6,True,adam,0.3976190476190476,0.26631728778467906
wine.data,"(9,)",tanh,8,True,adam,0.29319593450028236,0.21960797293081807
wine.data,"(9,)",tanh,2,True,sgd,0.303030303030303,0.1651222778673759
